order,seasonal_order,mape,mae,rmse,aic,bic
"(1, 0, 1)","(2, 0, 0, 12)",10.50363961621032,8681.094304660506,10053.821677925578,1381.9484303444574,1392.0751887981332
"(1, 0, 1)","(2, 0, 1, 12)",16.914760176968823,14362.617909581857,18031.046273902186,1383.0382313523774,1395.1903414967883
"(1, 0, 1)","(2, 1, 0, 12)",34.18312535026433,28701.386791489087,35584.47521907289,1094.6280269592446,1103.548975128836
"(1, 0, 1)","(2, 1, 1, 12)",22.872795860402732,23511.73146309896,40368.86744588455,1094.1896039416954,1104.894741745205
"(1, 0, 2)","(0, 0, 0, 12)",64.40184316615834,47845.842853163056,49992.7615561707,1942.0955348125735,1951.522370119332
"(1, 0, 2)","(0, 0, 1, 12)",35.52788176526385,33525.3763969003,46162.45783549004,1632.8422557872186,1643.7905294973507
"(1, 0, 2)","(0, 1, 0, 12)",16.5752804387526,14156.781709438344,17257.738476824805,1618.1450038930993,1626.9036228612051
"(1, 0, 2)","(0, 1, 1, 12)",30.722574130079057,25390.33561997477,30440.685582895938,1323.5737515117808,1333.5186717446022
"(1, 0, 2)","(1, 0, 0, 12)",14.369322390014014,11728.988911625142,15205.535086874941,1675.1760603692417,1686.2735988951222
"(1, 0, 2)","(1, 0, 1, 12)",12.577248598055654,10410.67945967176,13018.537171080812,1624.9560556803046,1638.0939841324632
"(1, 0, 2)","(1, 1, 0, 12)",42.80556758172078,36463.85759143446,46242.0636227694,1370.657871040261,1380.7846294939368
"(1, 0, 2)","(1, 1, 1, 12)",42.701521834730656,36019.92773759482,44120.66857692959,1323.6998576318583,1335.633761911244
"(1, 0, 2)","(2, 0, 0, 12)",29.782848988183787,25608.98736620508,33057.757933330126,1381.7764511587266,1393.9285613031375
"(1, 0, 2)","(2, 0, 1, 12)",32.539759257325535,30261.166266800592,44119.60922642992,1383.154396628161,1397.331858463307
"(1, 0, 2)","(2, 1, 0, 12)",45.99446400314295,39711.14587607234,51669.93880199619,1085.5577134583452,1096.2628512618548
"(1, 0, 2)","(2, 1, 1, 12)",46.100897859434056,43526.752634932105,64850.441109546424,1084.5150503794544,1097.0043778168822
"(1, 1, 0)","(0, 0, 0, 12)",18.336606661013032,18918.92375517695,35100.56057442016,1982.1460309369759,1986.88492664191
"(1, 1, 0)","(0, 0, 1, 12)",35.868002415942414,34512.638634365205,48951.95565194523,1662.3088283530049,1668.9229062111779
"(1, 1, 0)","(0, 1, 0, 12)",61.63553226755744,45108.81362512309,47072.98452592792,1652.7111349236338,1657.1205201624157
"(1, 1, 0)","(0, 1, 1, 12)",31.870949102072565,22692.58588289386,25793.1738617787,1361.170167772026,1367.1921673277234
"(1, 1, 0)","(1, 0, 0, 12)",42.55172409872088,33498.29162406644,34895.733520965194,1653.1546457866475,1659.7687236448205
"(1, 1, 0)","(1, 0, 1, 12)",38.629751925659235,29761.65531551937,30954.489715538886,1654.8793874283442,1663.6981579059081
"(1, 1, 0)","(1, 1, 0, 12)",34.27811742535345,26491.106362769802,30051.87129955045,1360.5239937256965,1366.545993281394
"(1, 1, 0)","(1, 1, 1, 12)",114.93584911691406,83886.0231117762,91244.48945235967,1360.1034013259923,1368.1327340669222
"(1, 1, 0)","(2, 0, 0, 12)",27.090718254774043,20171.44498510593,22021.350459638285,1362.4281096380387,1370.4574423789686
"(1, 1, 0)","(2, 0, 1, 12)",73.21606115105052,52218.139317182104,58077.665789264924,1362.2516727337043,1372.2883386598667
"(1, 1, 0)","(2, 1, 0, 12)",37.858943894924614,30164.75152927412,35120.260499185104,1074.0558944827305,1081.1006949455048
"(1, 1, 0)","(2, 1, 1, 12)",111.43591930614403,81322.36135458418,88163.8144600596,1071.9896338131446,1080.7956343916123
"(1, 1, 1)","(0, 0, 0, 12)",52.57085759724719,39896.715266378065,43363.90650872038,1937.4893914082775,1944.5595178883461
"(1, 1, 1)","(0, 0, 1, 12)",21.03466484366997,19781.171510965076,33846.56808080971,1629.5002539279408,1638.2588728960466
"(1, 1, 1)","(0, 1, 0, 12)",62.550741235939874,45804.05466756828,47743.47205371873,1630.460578622796,1637.0295428488753
"(1, 1, 1)","(0, 1, 1, 12)",32.94526639580271,23322.925536607232,26648.281576655245,1339.1562738033767,1347.1122099896338
"(1, 1, 1)","(1, 0, 0, 12)",28.329271119191212,22935.734706851665,25028.74553864143,1650.0628967597509,1658.8816672373148
"(1, 1, 1)","(1, 0, 1, 12)",23.209430498752546,18764.147069239047,20830.795542595402,1626.2787719144287,1637.2270456245608
"(1, 1, 1)","(1, 1, 0, 12)",36.35056935226621,27957.71876166418,31246.42828143466,1362.184254735243,1370.213587476173
"(1, 1, 1)","(1, 1, 1, 12)",65.87147669812204,51141.64269944268,58730.05800297478,1336.0977555050922,1346.0426757379137
"(1, 1, 1)","(2, 0, 0, 12)",11.890740471176109,9091.9520073656,11120.208144455422,1360.4675541197942,1370.5042200459566
"(1, 1, 1)","(2, 0, 1, 12)",55.09861014515395,39426.388754325686,44584.884572512114,1361.4504751311026,1373.4944742424975
"(1, 1, 1)","(2, 1, 0, 12)",39.560611668579234,31260.660752928048,36040.27855272947,1075.4494718559793,1084.255472434447
"(1, 1, 1)","(2, 1, 1, 12)",65.76818106229067,49825.27584264154,54419.638650652676,1073.0939972621566,1083.661197956318
"(1, 1, 2)","(0, 0, 0, 12)",54.37201721042827,41085.054286764294,44295.15486248519,1916.0069282418547,1925.3821499292694
"(1, 1, 2)","(0, 0, 1, 12)",25.28694785643995,22125.413705069397,32877.125451329266,1607.0992776329101,1617.9712139823882
"(1, 1, 2)","(0, 1, 0, 12)",49.54271457885326,36116.3744512581,38463.77134318444,1604.6107231718515,1613.3082722514341
"(1, 1, 2)","(0, 1, 1, 12)",18.23086028950901,13992.939696769978,17169.812373757908,1314.4779772954269,1324.3294368631875
"(1, 1, 2)","(1, 0, 0, 12)",26.73489149202099,21821.911333981217,24058.59444186488,1652.7340538287747,1663.7575169257295
"(1, 1, 2)","(1, 0, 1, 12)",20.486735179403546,16749.354385915638,19014.31320575025,1604.2162876306975,1617.2626112500714
"(1, 1, 2)","(1, 1, 0, 12)",19.45530844069654,17244.261341698308,22856.327495784506,1361.588035849982,1371.6247017761443
"(1, 1, 2)","(1, 1, 1, 12)",61.25977469050322,47958.648351908494,55760.14004501098,1314.4038575983882,1326.225609079701
"(1, 1, 2)","(2, 0, 0, 12)",10.063147913175381,7679.006262427912,9469.777356669201,1362.8869073928365,1374.9309065042314
"(1, 1, 2)","(2, 0, 1, 12)",55.91175900616042,39947.439889101675,45169.72421843374,1364.115973862237,1378.1673061588644
"(1, 1, 2)","(2, 1, 0, 12)",22.71980705120106,21058.509050824447,31503.188050486617,1074.0463908264765,1084.6135915206378
"(1, 1, 2)","(2, 1, 1, 12)",28.170220979987292,27893.968409902325,42755.411206568446,1072.4216663179511,1084.750067127806
"(2, 0, 0)","(0, 0, 0, 12)",38.81539528462856,35122.72673437017,46065.271958657184,1981.3213409710627,1988.4296845284637
"(2, 0, 0)","(0, 0, 1, 12)",60.323011613238556,52040.54821030363,61436.85857600854,1684.947421483073,1693.8254523037774
"(2, 0, 0)","(0, 1, 0, 12)",12.759668432248663,10625.550187891246,13099.803576244884,1644.818938468493,1651.433016326666
"(2, 0, 0)","(0, 1, 1, 12)",29.102389423638726,23235.516736950663,26225.310689060203,1377.4428432403631,1385.5442500033037
"(2, 0, 0)","(1, 0, 0, 12)",20.724674232034694,17222.319075826676,19892.18951025006,1649.8993316892595,1658.7181021668234
"(2, 0, 0)","(1, 0, 1, 12)",12.47668706908054,9982.748460680805,12954.840209459631,1651.545837642521,1662.569300739476
"(2, 0, 0)","(1, 1, 0, 12)",33.47592846128164,28119.688842298903,34853.07843078951,1354.4989148887691,1362.528247629699
"(2, 0, 0)","(1, 1, 1, 12)",29.71127860464576,23804.915879191492,26928.266805063657,1355.976787025916,1366.0134529520785
"(2, 0, 0)","(2, 0, 0, 12)",10.413489275282021,8669.137928477572,10182.731106000856,1359.580131655739,1369.6167975819014
"(2, 0, 0)","(2, 0, 1, 12)",14.94878327969188,13385.53369079825,18120.22467861385,1360.8628362873699,1372.9068353987648
"(2, 0, 0)","(2, 1, 0, 12)",32.76491852465349,27167.215972470312,32615.800949717745,1069.7744726870446,1078.5804732655124
"(2, 0, 0)","(2, 1, 1, 12)",23.45602205320116,24037.69916548484,41250.59401807252,1069.7202374337783,1080.2874381279396
"(2, 0, 1)","(0, 0, 0, 12)",31.4905485456585,25816.69164204346,34597.61790811152,1966.1160849712885,1975.5938763811566
"(2, 0, 1)","(0, 0, 1, 12)",27.356695403326626,27260.38379224343,43210.86164071947,1655.4150872200714,1666.4385503170263
"(2, 0, 1)","(0, 1, 0, 12)",13.410593276730099,11169.768932031491,13681.811062128438,1646.0569594543151,1654.875729931879
"(2, 0, 1)","(0, 1, 1, 12)",30.04816554642538,23992.02378529879,27019.1787101195,1354.5393005563767,1364.5759664825391
"(2, 0, 1)","(1, 0, 0, 12)",26.14339553152941,21238.988998961468,23376.066569997405,1648.970026519562,1659.9934896165169
"(2, 0, 1)","(1, 0, 1, 12)",15.119272859697722,12018.194833370539,14621.069236406032,1650.483285123349,1663.711440839695
"(2, 0, 1)","(1, 1, 0, 12)",35.31500396995553,29647.20917346627,36694.95766909906,1355.0246991033023,1365.0613650294647
"(2, 0, 1)","(1, 1, 1, 12)",31.10888195984616,24998.036379559617,28268.96064190666,1356.5278709651525,1368.5718700765474
"(2, 0, 1)","(2, 0, 0, 12)",11.146405378454249,9592.579218398567,11797.959390361531,1358.9695342460873,1371.0135333574822
"(2, 0, 1)","(2, 0, 1, 12)",12.749074008590938,12347.561009271061,18393.86017114855,1360.4830789167884,1374.5344112134158
"(2, 0, 1)","(2, 1, 0, 12)",34.80503414705948,28930.306312315573,34896.19465939029,1070.4209402289625,1080.9881409231239
"(2, 0, 1)","(2, 1, 1, 12)",38.140092824536985,35494.51453174273,51553.755325527396,1072.971876485072,1085.300277294927
"(2, 0, 2)","(0, 0, 0, 12)",40.10871479981295,31573.155619953875,37498.92149727551,1941.4522961421562,1953.2358402756042
"(2, 0, 2)","(0, 0, 1, 12)",50.82205402117449,44929.74904026256,54821.18398204956,1632.9635728144344,1646.101501266593
"(2, 0, 2)","(0, 1, 0, 12)",16.511249183116448,14085.254884531727,17166.535522061782,1620.1385798580397,1631.0868535681718
"(2, 0, 2)","(0, 1, 1, 12)",32.44014956156847,26911.74134227741,32199.37215253418,1324.2148664852268,1336.1487707646124
"(2, 0, 2)","(1, 0, 0, 12)",24.566871940018693,20271.28296054622,22673.171522606845,1652.1862558234122,1665.414411539758
"(2, 0, 2)","(1, 0, 1, 12)",11.772499935189538,9574.825812816487,11969.94418659366,1626.2817561855695,1641.6093393797546
"(2, 0, 2)","(1, 1, 0, 12)",42.61762436693523,36474.05472380031,46726.022805551074,1347.7871017562861,1359.831100867681
"(2, 0, 2)","(1, 1, 1, 12)",41.00142739512849,34312.62841999101,41310.925105194736,1325.203778087566,1339.126666413516
"(2, 0, 2)","(2, 0, 0, 12)",10.599531465058917,8881.005820525066,10504.462712303597,1362.8094528591957,1376.8607851558231
"(2, 0, 2)","(2, 0, 1, 12)",34.72830369714229,32223.155711931482,47336.75345375723,1360.085833747005,1376.1444992288648
"(2, 0, 2)","(2, 1, 0, 12)",47.54457281254221,40796.29278745474,51481.08684535677,1061.4784790355777,1073.8068798454326
"(2, 0, 2)","(2, 1, 1, 12)",47.12205274275163,43760.54261511655,64283.2097932382,1061.246738477814,1075.3363394033624
"(2, 1, 0)","(0, 0, 0, 12)",17.894483485586132,18934.837885706776,35334.44186670707,1952.065431387825,1959.1355578678936
"(2, 1, 0)","(0, 0, 1, 12)",36.439508037848945,34825.62436949324,48631.43870441214,1661.9906446902007,1670.8094151677647
"(2, 1, 0)","(0, 1, 0, 12)",61.88120285924184,45295.08697222877,47252.32385683119,1630.4626413257306,1637.03160555181
"(2, 1, 0)","(0, 1, 1, 12)",33.295768000370266,23639.93848275393,26775.149232853953,1363.0545511778296,1371.0838839187595
